TICKER,NAME,SECTEUR,PEA-PME,ISIN,INDICE,HREF_BOURSEDIRECT,HREF_RENDEMENTBOURSE
OVH,OVH Groupe,Technologies,1,FR0014005HJ9,CAC_SMALL,ovh-groupe-FR0014005HJ9-OVH-EUR-XPAR,/ovh-ovh-group-sas
PAR,PAREF,Immobilier,0,FR0010263202,CAC_SMALL,paref-FR0010263202-PAR-EUR-XPAR,/par-paref
PARRO,Parrot,Technologies,0,FR0004038263,CAC_SMALL,parrot-FR0004038263-PARRO-EUR-XPAR,/parro-parrot
RI,Pernod Ricard,Consommation de base,0,FR0000120693,CAC_40,pernod-ricard-FR0000120693-RI-EUR-XPAR,/ri-pernod-ricard-sa
PERR,Gérard Perrier Industrie,Industrie,1,FR0000061459,CAC_SMALL,gerard-perrier-industrie-FR0000061459-PERR-EUR-XPAR,/perr-perrier-gerard
PEUG,Peugeot Invest,Finance,0,FR0000064784,CAC_SMALL,peugeot-invest-FR0000064784-PEUG-EUR-XPAR,/peug-peugeot-invest
VAC,Pierre & Vacances,Consommation discrétionnaire,0,FR0000073041,CAC_SMALL,pierre-vacances-FR0000073041-VAC-EUR-XPAR,/vac-pierre-vacances
PVL,Plastiques du Val-de-Loire,Consommation discrétionnaire,1,FR0013252186,CAC_SMALL,plastiques-du-val-de-loire-FR0013252186-PVL-EUR-XPAR,/pvl-plast-val-loire
POXEL,Poxel,Santé,1,FR0012432516,CAC_SMALL,poxel-FR0012432516-POXEL-EUR-XPAR,/poxel-poxel-sa
PWG,Prodways Group,Industrie,1,FR0012613610,CAC_SMALL,prodways-group-FR0012613610-PWG-EUR-XPAR,/pwg-prodways
PUB,Publicis Groupe SA,Télécommunications,0,FR0000130577,CAC_40,publicis-groupe-s-a-FR0000130577-PUB-EUR-XPAR,/pub-publicis-groupe-sa
QDT,Quadient S.A.,Technologies,1,FR0000120560,CAC_SMALL,quadient-s-a-FR0000120560-QDT-EUR-XPAR,/qdt-quadient
RCO,Rémy Cointreau,Consommation de base,0,FR0000130395,CAC_NEXT_20,remy-cointreau-FR0000130395-RCO-EUR-XPAR,/rco-remy-cointreau
RNO,Renault,Consommation discrétionnaire,0,FR0000131906,CAC_40,renault-FR0000131906-RNO-EUR-XPAR,/rno-renault
RXL,Rexel,Industrie,0,FR0010451203,CAC_NEXT_20,rexel-FR0010451203-RXL-EUR-XPAR,/rxl-rexel
RUI,Rubis,Services aux collectivités,0,FR0013269123,CAC_MID_60,rubis-FR0013269123-RUI-EUR-XPAR,/rui-rubis
SK,SEB S.A.,Consommation discrétionnaire,0,FR0000121709,CAC_MID_60,seb-s-a-FR0000121709-SK-EUR-XPAR,/sk-seb
SAF,Safran,Industrie,0,FR0000073272,CAC_40,safran-FR0000073272-SAF-EUR-XPAR,/saf-safran-s-a
SGO,Compagnie de Saint-Gobain,Industrie,0,FR0000125007,CAC_40,compagnie-de-saint-gobain-FR0000125007-SGO-EUR-XPAR,/sgo-saint-gobain
SAN,Sanofi,Santé,0,FR0000120578,CAC_40,sanofi-FR0000120578-SAN-EUR-XPAR,/san-sanofi
DIM,Sartorius Stedim Biotech,Santé,0,FR0013154002,CAC_NEXT_20,sartorius-stedim-biotech-FR0013154002-DIM-EUR-XPAR,/dim-sartorius-sted-bio
SU,Schneider Electric SE,Industrie,0,FR0000121972,CAC_40,schneider-electric-se-FR0000121972-SU-EUR-XPAR,/su-schneider-electric-se
SCR,SCOR SE,Finance,0,FR0010411983,CAC_MID_60,scor-se-FR0010411983-SCR-EUR-XPAR,/scr-scor
SCHP,Séché Environnement SA,Industrie,1,FR0000039109,CAC_SMALL,seche-environnement-sa-FR0000039109-SCHP-EUR-XPAR,/schp-seche-environnem
SEFER,SergeFerrari Group,Industrie,0,FR0011950682,CAC_SMALL,sergeferrari-group-FR0011950682-SEFER-EUR-XPAR,/sefer-sergeferrari-group
SRP,SRP Groupe,Consommation discrétionnaire,1,FR0013006558,CAC_SMALL,srp-groupe-FR0013006558-SRP-EUR-XPAR,/srp-showroomprive
SMCP,SMCP S.A,Consommation discrétionnaire,0,FR0013214145,CAC_SMALL,smcp-s-a-FR0013214145-SMCP-EUR-XPAR,/smcp-smcp
GLE,Société Générale,Finance,0,FR0000130809,CAC_40,societe-generale-FR0000130809-GLE-EUR-XPAR,/gle-societe-generale
SW,Sodexo,Industrie,0,FR0000121220,CAC_NEXT_20,sodexo-FR0000121220-SW-EUR-XPAR,/sw-sodexo
SOI,Soitec,Technologies,0,FR0013227113,CAC_MID_60,soitec-FR0013227113-SOI-EUR-XPAR,/soi-soitec
LOCAL,SoLocal Group,Télécommunications,1,FR00140006O9,CAC_SMALL,solocal-group-FR00140006O9-LOCAL-EUR-XPAR,/local-solocal-group
S30,Solutions 30 SE,Technologies,1,FR0013379484,CAC_MID_60,solutions-30-se-FR0013379484-S30-EUR-XPAR,/s30-solutions-30-se
SOP,Sopra Steria Group,Technologies,0,FR0000050809,CAC_MID_60,sopra-steria-group-FR0000050809-SOP-EUR-XPAR,/sop-sopra-steria-group
SPIE,SPIE SA,Industrie,0,FR0012757854,CAC_MID_60,spie-sa-FR0012757854-SPIE-EUR-XPAR,/spie-spie
SQI,SQLI,Technologies,1,FR0011289040,CAC_SMALL,sqli-FR0011289040-SQI-EUR-XPAR,/sqi-sqli
SWP,Sword Group SE,Technologies,1,FR0004180578,CAC_SMALL,sword-group-se-FR0004180578-SWP-EUR-XPAR,/swp-sword-group
TEP,Teleperformance SE,Industrie,0,FR0000051807,CAC_NEXT_20,teleperformance-se-FR0000051807-TEP-EUR-XPAR,/tep-teleperformance-se
TFI,TF1,Télécommunications,0,FR0000054900,CAC_MID_60,tf1-FR0000054900-TFI-EUR-XPAR,/tfi-tf1
HO,Thales,Industrie,0,FR0000121329,CAC_NEXT_20,thales-FR0000121329-HO-EUR-XPAR,/ho-thales-sa
TTE,TotalEnergies SE,Energie,0,FR0000120271,CAC_40,totalenergies-se-FR0000120271-TTE-EUR-XPAR,/fp-total
TOUP,TOUAX SCA,Industrie,1,FR0000033003,CAC_SMALL,touax-sca-FR0000033003-TOUP-EUR-XPAR,/toup-touax
TNG,Transgene,Santé,0,FR0005175080,CAC_SMALL,transgene-FR0005175080-TNG-EUR-XPAR,/tng-transgene
TRI,Trigano,Consommation discrétionnaire,1,FR0005691656,CAC_MID_60,trigano-FR0005691656-TRI-EUR-XPAR,/tri-trigano
UBI,Ubisoft Entertainment,Télécommunications,0,FR0000054470,CAC_NEXT_20,ubisoft-entertainment-FR0000054470-UBI-EUR-XPAR,/ubi-ubisoft-entertain
URW,UNIBAIL-RODAM.UNIT,Immobilier,0,FR0013326246,CAC_40,unibail-rodam-unit-FR0013326246-URW-EUR-XPAR,/urw-unibail-rodamco-westfield-urw-pa
FR,Valeo,Consommation discrétionnaire,0,FR0013176526,CAC_NEXT_20,valeo-FR0013176526-FR-EUR-XPAR,/fr-valeo
VK,Vallourec,Matériaux,0,FR0013506730,CAC_MID_60,vallourec-FR0013506730-VK-EUR-XPAR,/vk-vallourec-sa
VLA,Valneva SE,Santé,1,FR0004056851,CAC_MID_60,valneva-FR0004056851-VLA-EUR-XPAR,/vla-valneva
VANTI,Vantiva,Télécommunications,0,FR0013505062,CAC_SMALL,vantiva-FR0013505062-VANTI-EUR-XPAR,/vanti-vantiva-s-a
VIE,Veolia Environnement,Services aux collectivités,0,FR0000124141,CAC_40,veolia-environnement-FR0000124141-VIE-EUR-XPAR,/vie-veolia-environnement
VRLA,Verallia,Consommation discrétionnaire,0,FR0013447729,CAC_MID_60,verallia-FR0013447729-VRLA-EUR-XPAR,/vrla-verallia
VMX,Verimatrix,Technologies,1,FR0010291245,CAC_SMALL,verimatrix-FR0010291245-VMX-EUR-XPAR,/vmx-verimatrix
VETO,Vetoquinol SA,Santé,1,FR0004186856,CAC_SMALL,vetoquinol-sa-FR0004186856-VETO-EUR-XPAR,/veto-vetoquinol
VCT,Vicat,Matériaux,0,FR0000031775,CAC_SMALL,vicat-FR0000031775-VCT-EUR-XPAR,/vct-vicat
DG,Vinci,Industrie,0,FR0000125486,CAC_40,vinci-FR0000125486-DG-EUR-XPAR,/dg-vinci
VIRP,Virbac,Santé,1,FR0000031577,CAC_MID_60,virbac-FR0000031577-VIRP-EUR-XPAR,/virp-virbac
VIV,Vivendi SE,Télécommunications,0,FR0000127771,CAC_NEXT_20,vivendi-se-FR0000127771-VIV-EUR-XPAR,/viv-vivendi
VLTSA,Voltalia SA,Services aux collectivités,0,FR0011995588,CAC_MID_60,voltalia-sa-FR0011995588-VLTSA-EUR-XPAR,/vltsa-voltalia
VRAP,Vranken-Pommery Monopole,Consommation de base,1,FR0000062796,CAC_SMALL,vranken-pommery-monopole-FR0000062796-VRAP-EUR-XPAR,/vrap-vranken-pommery
WAVE,Wavestone,Technologies,1,FR0013357621,CAC_SMALL,wavestone-FR0013357621-WAVE-EUR-XPAR,/wave-wavestone
MF,Wendel,Finance,0,FR0000121204,CAC_MID_60,wendel-FR0000121204-MF-EUR-XPAR,/mf-wendel
WLN,Worldline,Technologies,0,FR0011981968,CAC_40,worldline-FR0011981968-WLN-EUR-XPAR,/wln-worldline-sa
XIL,Xilam Animation,Télécommunications,0,FR0004034072,CAC_SMALL,xilam-animation-FR0004034072-XIL-EUR-XPAR,/xil-xilam-animation
AIR,Airbus SE,Industrie,0,NL0000235190,CAC_40,airbus-se-NL0000235190-AIR-EUR-XPAR,/air-airbus-se
MT,ArcelorMittal,None,0,LU1598757687,CAC_40,arcelormittal-LU1598757687-MT-EUR-XAMS,None
STLAP,Stellantis N.V.,Consommation discrétionnaire,0,NL00150001Q9,CAC_40,stellantis-n-v-NL00150001Q9-STLAP-EUR-XPAR,/stla-stellantis
STMPA,STMicroelectronics N.V.,Technologies,0,NL0000226223,CAC_40,stmicroelectronics-n-v-NL0000226223-STMPA-EUR-XPAR,/stm-stmicroelectronics
ENX,EURONEXT,Finance,0,NL0006294274,CAC_NEXT_20,euronext-NL0006294274-ENX-EUR-XPAR,/enx-euronext
SESG,SES S.A.,Télécommunications,0,LU0088087324,CAC_MID_60,ses-s-a-LU0088087324-SESG-EUR-XPAR,/sesg-ses-sa-fdr-class-a
SOLB,Solvay SA,None,0,BE0003470755,CAC_NEXT_20,solvay-sa-BE0003470755-SOLB-EUR-XBRU,None
APAM,Aperam S.A.,None,0,LU0569974404,CAC_MID_60,aperam-s-a-LU0569974404-APAM-EUR-XAMS,None
TE,Technip Energies N.V.,Energie,0,NL0014559478,CAC_MID_60,technip-energies-n-v-NL0014559478-TE-EUR-XPAR,/te-technip-energies
GNRO,GeNeuro SA,Santé,0,CH0308403085,CAC_SMALL,geneuro-sa-CH0308403085-GNRO-EUR-XPAR,/gnro-geneuro
XFAB,X-FAB Silicon Foundries SE,Technologies,0,BE0974310428,CAC_SMALL,x-fab-silicon-foundries-se-BE0974310428-XFAB-EUR-XPAR,/xfab-x-fab
